This file was created using the 202112 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RMW,CMA,RF
200007   ,-5.13    ,0.87    ,6.20   ,-0.57    ,3.18    ,0.48
200008   ,-0.48   ,-1.40   ,-1.60    ,2.91   ,-1.51    ,0.50
200009   ,-9.75    ,1.11    ,4.66   ,-0.03    ,3.66    ,0.51
200010   ,-9.20   ,-1.01    ,2.73    ,2.15    ,1.04    ,0.56
200011   ,-8.95    ,1.43    ,1.46    ,0.59    ,3.19    ,0.51
200012    ,0.80   ,-4.51    ,4.26    ,0.71    ,2.89    ,0.50
200101   ,11.47   ,-3.74   ,-0.36    ,0.58   ,-3.35    ,0.54
200102   ,-6.90    ,6.52    ,3.46   ,-1.69    ,3.96    ,0.38
200103   ,-8.59    ,3.69    ,2.17   ,-0.04    ,0.93    ,0.42
200104    ,3.54   ,-3.71    ,0.17    ,3.76   ,-0.61    ,0.39
200105    ,0.74    ,0.42    ,3.17    ,3.47    ,1.00    ,0.32
200106   ,-2.07    ,1.15    ,1.86    ,1.08    ,1.81    ,0.28
200107   ,-6.94    ,0.66   ,-0.14    ,1.29    ,0.65    ,0.30
200108   ,-1.84    ,0.22    ,5.46   ,-0.91    ,4.42    ,0.31
200109  ,-14.68    ,0.80    ,2.63    ,1.40    ,2.23    ,0.28
200110    ,5.08   ,-0.36   ,-2.59    ,1.22   ,-4.21    ,0.22
200111    ,9.66   ,-2.58   ,-0.70   ,-0.21   ,-3.01    ,0.17
200112    ,8.09   ,-2.12   ,-0.17    ,1.16   ,-2.07    ,0.15
200201    ,2.94    ,2.18    ,3.96   ,-0.59    ,2.20    ,0.14
200202    ,1.18   ,-1.82    ,1.89    ,0.84    ,0.22    ,0.13
200203    ,6.48    ,1.81    ,2.00   ,-0.86   ,-1.57    ,0.13
200204    ,0.13    ,1.88    ,5.25   ,-3.18    ,2.50    ,0.15
200205   ,-2.27    ,1.27    ,1.36   ,-0.34    ,0.09    ,0.14
200206   ,-7.49    ,0.07    ,2.98    ,1.56    ,1.94    ,0.13
200207   ,-6.23    ,1.55    ,1.51   ,-1.00   ,-0.31    ,0.15
200208    ,0.99   ,-0.90   ,-1.24    ,2.35   ,-2.17    ,0.14
200209  ,-11.13   ,-1.26    ,2.91    ,3.65    ,0.24    ,0.14
200210    ,5.94   ,-1.65    ,0.83   ,-0.35    ,0.59    ,0.14
200211    ,6.00   ,-1.29    ,2.49    ,0.86    ,1.29    ,0.12
200212   ,-2.86    ,0.51    ,5.25   ,-1.10    ,0.56    ,0.11
200301    ,0.00    ,2.36    ,3.72   ,-3.14    ,3.46    ,0.10
200302   ,-2.99    ,0.33    ,0.78    ,1.14   ,-0.46    ,0.09
200303   ,-3.31   ,-0.90    ,1.46    ,1.19    ,1.47    ,0.10
200304    ,9.22   ,-1.82    ,0.76    ,0.45   ,-0.17    ,0.10
200305    ,7.08    ,0.47    ,1.16   ,-1.62    ,1.03    ,0.09
200306    ,5.88    ,0.01    ,1.27   ,-0.97   ,-0.52    ,0.10
200307    ,5.03   ,-0.87    ,1.11    ,2.31   ,-1.77    ,0.07
200308    ,6.50   ,-2.55    ,1.87    ,1.34    ,0.70    ,0.07
200309    ,1.61    ,0.98    ,3.13   ,-0.27    ,0.97    ,0.08
200310    ,7.41   ,-2.79    ,4.35   ,-0.66    ,1.12    ,0.07
200311    ,1.15    ,0.99    ,1.69   ,-1.34    ,0.05    ,0.07
200312    ,7.34   ,-1.37    ,3.89   ,-0.47    ,2.15    ,0.08
200401    ,3.56    ,0.78    ,0.88    ,0.41   ,-0.74    ,0.07
200402    ,4.57   ,-0.51    ,3.33   ,-0.51    ,0.46    ,0.06
200403    ,1.59   ,-0.33    ,0.26    ,0.74   ,-0.79    ,0.09
200404   ,-6.94    ,3.26   ,-0.47    ,0.94   ,-0.92    ,0.08
200405   ,-2.01   ,-1.18   ,-0.27    ,0.02    ,1.33    ,0.06
200406    ,0.49   ,-2.50    ,2.10    ,0.18   ,-0.95    ,0.08
200407   ,-1.93   ,-0.86    ,5.10   ,-0.57    ,1.75    ,0.10
200408    ,4.03   ,-0.31   ,-0.18    ,0.49   ,-0.29    ,0.11
200409    ,5.84   ,-0.62    ,3.40   ,-0.38    ,0.25    ,0.11
200410    ,2.80   ,-0.50    ,1.05   ,-0.18   ,-0.38    ,0.11
200411    ,8.42    ,0.45    ,1.93    ,0.29   ,-0.46    ,0.15
200412    ,5.42    ,1.13    ,0.91   ,-0.51    ,0.35    ,0.16
200501    ,0.67    ,3.90   ,-1.52   ,-0.73   ,-0.49    ,0.16
200502    ,8.45   ,-0.37    ,3.14   ,-0.18   ,-0.92    ,0.16
200503   ,-6.07    ,1.54   ,-0.81    ,0.84   ,-0.90    ,0.21
200504   ,-2.79    ,0.38    ,1.31    ,0.57   ,-0.48    ,0.21
200505    ,3.12   ,-0.78   ,-1.49    ,0.22   ,-0.53    ,0.24
200506    ,3.47    ,0.33    ,1.60   ,-0.71    ,0.41    ,0.23
200507    ,6.45   ,-0.26    ,0.83    ,0.63    ,2.01    ,0.24
200508    ,0.71   ,-2.06    ,2.00   ,-1.50   ,-0.67    ,0.30
200509    ,8.41   ,-3.07    ,1.81   ,-2.15   ,-0.07    ,0.29
200510   ,-6.09    ,2.68   ,-0.22   ,-1.19   ,-0.05    ,0.27
200511    ,7.52    ,0.28    ,1.10   ,-2.20    ,0.27    ,0.31
200512    ,5.94   ,-0.58    ,0.13    ,0.62    ,0.90    ,0.32
200601    ,9.93   ,-1.88    ,0.50   ,-1.71    ,0.59    ,0.35
200602    ,0.16    ,1.66    ,2.31   ,-2.04    ,0.93    ,0.34
200603    ,0.74    ,1.63    ,0.04    ,1.36   ,-1.76    ,0.37
200604    ,7.21   ,-0.34    ,2.87   ,-1.93    ,0.83    ,0.36
